variant_id,title,sku,price,available
42214412648530,Immortal Kiss - Default Title,Bundle-ImmortalKiss,28.0,True
42214412517458,The Twilight Saga Eclipse X ColourPop - Default Title,Bundle-TheTwilightSagaEclipseXColourPop,93.0,True
42170080755794,Newborn - Default Title,PowderToCremeLipstick-Newborn,12.0,True
42170080690258,Change Me - Default Title,SSHighlighterCompact-ChangeMe,15.0,True
42170080657490,Newborn Army - Default Title,JellyMuch-NewbornArmy,10.0,True
42170080591954,Cullen Coven - Default Title,JellyMuch-CullenCoven,10.0,True
42170080559186,New Love - Default Title,Kit-NewLove,16.0,True
42170080526418,Opposites Attract - Default Title,Kit-OppositesAttract,16.0,True
42170080329810,Eclipse - Default Title,EyePalette-Eclipse,25.0,True
42255125348434,Sorry Not Sorry - Default Title,Bundle-SorryNotSorry,18.0,True
42170079608914,Gloss Me Up - Default Title,Bundle-GlossMeUp,24.0,True
42170076823634,Cuter than Cupid - Default Title,SSBlush-CuterThanCupid,12.0,True
42170076102738,Love At First Swipe - Default Title,Kit-LoveAtFirstSwipe,16.0,True
42170076004434,For Your Eyes Only - Default Title,Kit-ForYourEyesOnly,16.0,True
42170075971666,Still That Girl - Default Title,UltraGlossyLip-StillThatGirl,9.0,True
42170075938898,Your New Obsession - Default Title,UltraGlossyLip-YourNewObsession,9.0,True
42170075480146,2 Die 4 - Default Title,UltraGlossyLip-2Die4,9.0,True
42170075414610,Heart to Get - Default Title,EyePalette-HeartToGet,18.0,True
42257227087954,Sugar Lips - Default Title,Bundle-SugarLips1,27.0,True
12970025713746,Cool Cocoa Pencil - Default Title,BrowPencil-CoolCocoa,9.0,True
12969989537874,Champagne Blonde Pencil - Default Title,BrowPencil-ChampagneBlonde,9.0,True
22676583943,Dope Taupe Pencil - Default Title,BrowPencil-DopeTaupe,9.0,True
22676184647,Black N' Brown Pencil - Default Title,BrowPencil-BlackNBrown,9.0,True
22676069703,Bangin' Brunette Pencil - Default Title,BrowPencil-BangingBrunette,9.0,True
42170074890322,Clear - Default Title,BrowBossGel-Clear1,9.0,True
42170074857554,Soft Black - Default Title,BrowBossPencil-SoftBlack1,9.0,True
42170074824786,Ash Brown - Default Title,BrowBossPencil-AshBrown1,9.0,True
42170074792018,Dark Brown - Default Title,BrowBossPencil-DarkBrown1,9.0,True
42170074726482,Brunette - Default Title,BrowBossPencil-Brunette1,9.0,True
42170074660946,Light Brown - Default Title,BrowBossPencil-LightBrown1,9.0,True
42170074497106,Taupe - Default Title,BrowBossPencil-Taupe1,9.0,True
42170074464338,Blonde - Default Title,BrowBossPencil-Blonde1,9.0,True
42245771362386,Heavenly Nudes - Default Title,Bundle-HeavenlyNudes,27.0,True
42245771329618,Petal Plush - Default Title,Bundle-PetalPlush,27.0,True
42245771067474,Cloud Crushin - Default Title,Bundle-CloudCrushin,27.0,True
42245771001938,Mocha Plum - Default Title,Bundle-MochaPlum,18.0,True
42245770936402,Sunset Smooch - Default Title,Bundle-SunsetSmooch,18.0,True
42245770903634,Petal Cloud - Default Title,Bundle-PetalCloud,18.0,True
42245770510418,Cloud Kissed - Default Title,Bundle-CloudKissed,99.0,True
42170070564946,Storm Cloud - Default Title,CloudLiquidLipstick-StormCloud,10.0,True
42170069024850,Pretty Aura - Default Title,CloudLiquidLipstick-PrettyAura,10.0,True
42170068140114,So Dreamy - Default Title,CloudLiquidLipstick-SoDreamy,10.0,True
42170067419218,Mile High - Default Title,CloudLiquidLipstick-MileHigh,10.0,True
42170064961618,On Cloud 9 - Default Title,CloudLiquidLipstick-OnCloud9,10.0,True
42170063650898,In a Haze - Default Title,CloudLiquidLipstick-InaHaze,10.0,True
42170062536786,Candy Floss - Default Title,CloudLiquidLipstick-CandyFloss,10.0,True
42170061422674,Cloudy Hour - Default Title,CloudLiquidLipstick-CloudyHour,10.0,True
42170060439634,Sky's the Limit - Default Title,CloudLiquidLipstick-SkystheLimit,10.0,True
