product_id,title,handle,vendor,product_type,variant_id,variant_title,sku,price,available,inventory_quantity,url
8286763581568,adidas WMNS Japan Decon - Earth Strata / Magic Mauve / Orange Tint,aakj5016,adidas,Low Top Sneakers,45144372609152,17,14308539,120.0,False,,https://kith.com/products/aakj5016
8286763581568,adidas WMNS Japan Decon - Earth Strata / Magic Mauve / Orange Tint,aakj5016,adidas,Low Top Sneakers,45144372641920,18,14308540,120.0,False,,https://kith.com/products/aakj5016
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369725568,3,10883575,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369758336,3.5,10883576,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369791104,4,10883577,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369823872,4.5,10883578,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369856640,5,10883579,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369889408,5.5,10883580,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369922176,6,10883581,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369954944,6.5,10883582,120.0,False,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144369987712,7,10883583,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370020480,7.5,10883584,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370053248,8,10883585,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370086016,8.5,10883586,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370118784,9,10883587,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370151552,9.5,10883588,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370184320,10,10883589,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370217088,10.5,10883590,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370249856,11,10883591,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370282624,11.5,10883592,120.0,True,,https://kith.com/products/aakk5028
8286763516032,adidas BW Army - Shadow Navy / Charcoal,aakk5028,adidas,Low Top Sneakers,45144370315392,12,10883593,120.0,True,,https://kith.com/products/aakk5028
